,movie,international-profit,domestic-profit,foreign-profit
167,Dangerous Men,"$1,127,707",-,"$1,127,707"
168,Masz ci los!,"$1,111,717",-,"$1,111,717"
169,Irati,"$1,031,358",-,"$1,031,358"
170,Marry My Dead Body,"$1,019,884",-,"$1,019,884"
171,Ramon,"$1,010,128",-,"$1,010,128"
172,Mixed by Erry,"$1,002,029",-,"$1,002,029"
173,Youssef Salem a du succès,"$999,559",-,"$999,559"
174,Umami,"$981,574",-,"$981,574"
175,Na Twoim miejscu,"$968,337",-,"$968,337"
176,Kutoppen - På sporet,"$960,147",-,"$960,147"
177,The Devil Conspiracy,"$959,011","$765,218","$193,793"
178,Tina & Bettina 2: The Comeback,"$947,846",-,"$947,846"
179,Fireworks,"$944,137",-,"$944,137"
180,Oh My Goodness!,"$934,340",-,"$934,340"
181,Elvis 2023  Re-release,"$930,236",-,"$930,236"
182,Inside,"$897,190","$897,190",-
183,Bonne conduite,"$877,324",-,"$877,324"
184,Un petit miracle,"$872,829",-,"$872,829"
185,Duda & Dada The Secret of HooHoo Island,"$852,867",-,"$852,867"
186,Wild Game,"$839,595",-,"$839,595"
187,Waltair Veerayya,"$838,855","$320,000","$518,855"
188,Nada Que Ver,"$832,212",-,"$832,212"
189,National Theatre Live: The Crucible,"$801,906",-,"$801,906"
190,Carrie and Superkola,"$799,320",-,"$799,320"
191,Paint,"$797,350","$797,350",-
192,Tsarevny i Tainstvennaya gostya,"$797,279",-,"$797,279"
193,Let the River Flow,"$768,757",-,"$768,757"
194,Malikappuram,"$767,076",-,"$767,076"
195,Il ritorno di Casanova,"$756,271",-,"$756,271"
196,Taximetristi,"$741,181",-,"$741,181"
197,Munch,"$739,789",-,"$739,789"
198,Eskortnitsa,"$697,982",-,"$697,982"
199,Metallica: 72 Seasons - Global Premiere,"$694,634",-,"$694,634"
